ID,WEIGHT
HUM,-0.010966879567410895
IBKR,-0.009042597598236134
IBM,0.02446704256333862
ICE,-0.002109239837883116
IFF,0.0448210978302471
IMO,-0.03738984002966329
INTC,-0.03538145118919245
INTU,-0.04242004387551174
IQV,0.002265551221692884
ISRG,-0.022118316433649306
ITW,-0.021067224805384963
JCI,-0.01664954122019912
JNJ,-0.024639943308473862
JPM,0.03346205899811627
JXN,0.04528484539363474
K,-0.02060908811484013
KDP,-0.014662514128050683
KEY,-0.028401058255850337
KHC,0.018481398912096686
KKR,0.03460878315925123
KLAC,-0.03326942152482282
KMB,-0.045694079839387496
KMI,-0.0434312332347499
KMX,-0.026336896546809936
KO,0.02750102359709293
KR,-0.02565351304074079
L,-0.04946754462736169
LEN,0.03773047648154325
LHX,-0.03353701009482392
LLY,0.048368396969470956
LMT,-0.027576164900989672
LNC,0.04060770284191319
LNG,-0.04554817165663061
LOW,-0.03173119890328688
LRCX,0.020145173207515327
LUV,0.044320065133330006
LYB,0.025981254107033724
LYG,-0.016207668860429646
MA,-0.044689503568965575
MAR,-0.036267025845858746
MCD,-0.03970483523846815
MCHP,-0.01665376425122364
MCK,0.0425862425541528
MCO,-0.022131792803510637
MDLZ,-0.01695205151572618
MDT,0.011615398203697683
MELI,0.0016705571869219393
MET,0.04065605248576763
META,-0.03766864504260096
MFC,0.04843623886106746
MGA,0.022837282791096675
MGM,-0.028139116650791104
MKL,-0.017157642413656568
MMC,-0.04952619802993685
MMM,0.02512419029237524
MO,0.005739230205475052
MOH,0.015271937446273892
MOS,-0.04750938195664239
MPC,0.0024002534331320838
MPLX,3.3760680099442775e-07
MRK,-0.03287336320891927
MRNA,-0.0013903814066513337
MS,-0.03366957410406338
MSFT,-0.018906607352029144
MT,-0.03727140553719449
MTB,-0.003975949596442319
MU,0.007155797404754229
NEE,-0.04795700389843871
NEM,0.048951651948927186
NFLX,-0.048060831899236246
NKE,-0.035399490324679386
NOC,-0.04422256516171804
NOW,-0.016532611788560088
NSC,-0.038173754555996274
NTR,0.00510061557321867
NTRS,-0.03567729572866313
NUE,-0.025473822135568133
NVDA,-0.020598614392152933
NXPI,-0.04748386234943271
O,0.004502857732070334
OKE,0.0017844973602387654
ORCL,0.018321108413666326
ORLY,0.04150121471116734
OXY,0.015545300923366798
PAA,0.032935162184231107
PARA,-0.04704972359306019
PCAR,-0.006637407402840613
PCG,-0.010507112523786132
PDD,-0.019877132289050845
PEG,-0.035002088041997316
PEP,0.02029383223279549
PFE,0.03239941142183328
PFG,-0.022976214053678896
PG,0.023857566415814893
PGR,0.022921614228932713
PH,0.007698004267563431
PHG,-0.00773551370484863
PLD,-0.003840642799048964
